tool	ceagle 	ceagle 	ceagle 	ceagle 
run set	default	default	default	default
../tpdb-54833d03619e/	status	cputime (s)	walltime (s)	memUsage
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-while2_true-termination.c	TIMEOUT	300.48926691	293.70169496070594	226832384
C/SV-COMP_Termination_Category/AliasDarteFeautrierGonnord-SAS2010-wise_true-termination.c	ERROR (3)	8.476640758	8.439410318620503	8224768
C/SV-COMP_Termination_Category/Avery-FLOPS2006-Table1_true-termination.c	true	6.270431417	6.231808787211776	12517376
C/SV-COMP_Termination_Category/BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c	true	30.181619662	30.033856592141092	22487040
C/SV-COMP_Termination_Category/BradleyMannaSipma-CAV2005-Fig1_true-termination.c	true	40.882030997	40.67060430254787	27336704
C/SV-COMP_Termination_Category/BradleyMannaSipma-ICALP2005-Fig1_true-termination.c	TIMEOUT	300.804997956	299.5658986726776	169963520
C/SV-COMP_Termination_Category/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c	TIMEOUT	300.771752661	299.8221750166267	140988416
C/SV-COMP_Termination_Category/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron1_true-termination.c	ERROR (3)	12.445290381	12.39223799481988	9887744
C/SV-COMP_Termination_Category/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c	ERROR (3)	44.23241684	44.06016782205552	22171648
C/SV-COMP_Termination_Category/ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c	ERROR (3)	113.471527902	113.01048240438104	47714304
C/SV-COMP_Termination_Category/ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c	TIMEOUT	300.80039022	299.5796721316874	137351168
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex1.02_true-termination.c	ERROR (3)	2.034866197	2.025508761405945	8077312
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex1.03_true-termination.c	ERROR (3)	13.044346953	12.986438516527414	10485760
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex1.04_true-termination.c	ERROR (3)	12.961100145	12.90125813614577	10342400
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex1.05_true-termination.c	ERROR (3)	12.605105943	12.546414103358984	10563584
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.01_true-termination.c	true	76.061080111	75.82775663305074	41369600
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c	true	76.359466903	76.11391330882907	42618880
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.05_false-termination.c	ERROR (3)	5.606631156	5.582381750456989	8089600
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.07_true-termination.c	ERROR (3)	5.015734819	4.992707330733538	8069120
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.08_true-termination.c	ERROR (3)	19.561428882	19.47350509930402	15183872
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.10_true-termination.c	ERROR (3)	3.652468971	3.63622710108757	8081408
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c	true	111.104488311	110.64304031338543	60846080
