tool	kittel 	kittel 	kittel 	kittel 
run set	default	default	default	default
../tpdb-54833d03619e/	status	cputime (s)	walltime (s)	memUsage
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.17_false-termination.c	TIMEOUT	300.68469883	300.7063232399523	89055232
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.20_true-termination.c	true	0.231391805	0.23087557032704353	7991296
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex2.22_true-termination.c	true	0.352659328	0.35146097373217344	7708672
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.01_true-termination.c	true	0.400507112	0.39947145711630583	7868416
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.03_true-termination.c	TIMEOUT	300.683289653	300.70660988334566	66633728
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.04_true-termination.c	true	0.412628755	0.41136932373046875	8286208
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.05_true-termination.c	true	0.340834758	0.3396327206864953	7708672
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.08_true-termination.c	true	0.250249865	0.24944533128291368	7868416
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex3.09_true-termination.c	true	0.449253153	0.4478437304496765	7913472
C/SV-COMP_Termination_Category/ChenFlurMukhopadhyay-SAS2012-Ex4.01_true-termination.c	true	0.507643525	0.5062698489055037	8359936
C/SV-COMP_Termination_Category/CookSeeZuleger-TACAS2013-Fig1_true-termination.c	true	0.519820155	0.5179651090875268	7749632
C/SV-COMP_Termination_Category/CookSeeZuleger-TACAS2013-Fig7a_true-termination.c	true	0.519510553	0.5177031205967069	7884800
C/SV-COMP_Termination_Category/CookSeeZuleger-TACAS2013-Fig7b_true-termination.c	true	2.013363973	2.005034629255533	9011200
C/SV-COMP_Termination_Category/GopanReps-CAV2006-Fig1a_true-termination.c.c	true	0.335375153	0.3342039780691266	8015872
C/SV-COMP_Termination_Category/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c	false(termination)	14.561976967	14.536937395110726	149745664
C/SV-COMP_Termination_Category/HarrisLalNoriRajamani-SAS2010-Fig1_true-termination.c	TIMEOUT	300.685486382	300.68759644124657	1868681216
C/SV-COMP_Termination_Category/HarrisLalNoriRajamani-SAS2010-Fig2_false-termination.c	TIMEOUT	300.68305721	300.70651187654585	71229440
C/SV-COMP_Termination_Category/HarrisLalNoriRajamani-SAS2010-Fig3_true-termination.c	TIMEOUT	300.682661488	300.70002239290625	56086528
C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination.c	false(termination)	48.497050744	48.49752705078572	2577428480
C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig5_true-termination.c	TIMEOUT	300.682357971	300.7576819723472	588005376
C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig6_true-termination.c	true	0.400293576	0.3988842209801078	7557120
C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig7_true-termination.c	TIMEOUT	300.682115146	300.727442773059	260980736
C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig8_true-termination.c	TIMEOUT	300.68320602	300.706332013011	53080064
C/SV-COMP_Termination_Category/HeizmannHoenickeLeikePodelski-ATVA2013-Fig9_true-termination.c	TIMEOUT	300.683139851	300.7030847379938	61091840
C/SV-COMP_Termination_Category/HenzingerJhalaMajumdarSutre-POPL2002-LockingExample_false-termination.c	TIMEOUT	300.685730924	300.7020182106644	293359616
C/SV-COMP_Termination_Category/KroeningSharyginaTsitovichWintersteiger-CAV2010-Ex_true-termination.c	true	0.310850633	0.31011922005563974	8015872
C/SV-COMP_Termination_Category/KroeningSharyginaTsitovichWintersteiger-CAV2010-Fig1_true-termination.c	TIMEOUT	300.795902479	299.6165876854211	36352000
C/SV-COMP_Termination_Category/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c	true	0.896524983	0.8932824330404401	8695808
C/SV-COMP_Termination_Category/LeeJonesBen-Amram-POPL2001-Ex1_true-termination.c	TIMEOUT	300.684490318	300.70747994910926	90923008
C/SV-COMP_Termination_Category/LeeJonesBen-Amram-POPL2001-Ex2_true-termination.c	TIMEOUT	300.684997679	300.7023366531357	91664384
C/SV-COMP_Termination_Category/LeeJonesBen-Amram-POPL2001-Ex3_true-termination.c	true	0.962431316	0.9584663156419992	7983104
C/SV-COMP_Termination_Category/LeeJonesBen-Amram-POPL2001-Ex4_true-termination.c	true	0.433301514	0.43160818237811327	7860224
C/SV-COMP_Termination_Category/LeeJonesBen-Amram-POPL2001-Ex5_true-termination.c	TIMEOUT	300.68365924	300.7064184565097	108101632
C/SV-COMP_Termination_Category/LeeJonesBen-Amram-POPL2001-Ex6_true-termination.c	TIMEOUT	300.684135239	300.6998890908435	84717568
C/SV-COMP_Termination_Category/LeikeHeizmann-TACAS2014-Ex9_true-termination.c	true	0.404005131	0.4022094430401921	7839744
C/SV-COMP_Termination_Category/LeikeHeizmann-WST2014-Ex9_true-termination.c	true	0.267533474	0.2664252929389477	7761920
C/SV-COMP_Termination_Category/Masse-VMCAI2014-Fig1b_true-termination.c	true	27.292719475	27.1655739415437	11923456
C/SV-COMP_Termination_Category/PodelskiRybalchenko-LICS2004-Fig2_true-termination.c	TIMEOUT	300.789299373	299.67188888415694	40476672
C/SV-COMP_Termination_Category/PodelskiRybalchenko-TACAS2011-Fig4_true-termination.c	true	0.461798453	0.46018256712704897	7663616
C/SV-COMP_Termination_Category/PodelskiRybalchenko-VMCAI2004-Ex1_true-termination.c	TIMEOUT	300.684739791	300.7063429420814	115675136
C/SV-COMP_Termination_Category/TelAviv-Amir-Minimum_true-termination.c	TIMEOUT	300.684731898	300.6005205241963	307011584
C/SV-COMP_Termination_Category/Toulouse-BranchesToLoop_true-termination.c	TIMEOUT	300.684521523	300.70525809098035	86175744
C/SV-COMP_Termination_Category/Toulouse-MultiBranchesToLoop_true-termination.c	TIMEOUT	300.684483088	300.7101505789906	85917696
C/SV-COMP_Termination_Category/UrbanMine-ESOP2014-Fig3_true-termination.c	true	2.580024027	2.5696130814030766	8949760
C/SV-COMP_Termination_Category/aaron2_true-termination.c	true	0.67966916	0.676861640997231	7729152
C/SV-COMP_Termination_Category/aaron3_true-termination.c	true	0.797696362	0.7956594433635473	12853248
C/SV-COMP_Termination_Category/aviad_true-termination.c	true	1.361667896	1.3552917800843716	8290304
C/SV-COMP_Termination_Category/gcd1_true-termination.c	TIMEOUT	300.683110208	300.70227577816695	195862528
C/SV-COMP_Termination_Category/genady_true-termination.c	true	0.235409132	0.23481800872832537	7704576
C/SV-COMP_Termination_Category/joey_false-termination.c	TIMEOUT	300.706180997	300.2623702986166	1437069312
C/SV-COMP_Termination_Category/min_rf_true-termination.c	TIMEOUT	300.689131561	300.4771330803633	269484032
C/SV-COMP_Termination_Category/svcomp_cstrcmp_true-termination.c	false(termination)	0.614326365	0.6121692387387156	8237056
C/SV-COMP_Termination_Category/svcomp_cstrcspn_true-termination.c	false(termination)	0.930761417	0.9271838879212737	8425472
C/SV-COMP_Termination_Category/svcomp_cstrlen_true-termination.c	false(termination)	0.315998372	0.31482241302728653	8257536
C/SV-COMP_Termination_Category/svcomp_cstrncmp_true-termination.c	true	0.721835957	0.7189071718603373	8241152
C/SV-COMP_Termination_Category/svcomp_cstrpbrk_true-termination.c	false(termination)	0.911520763	0.9078988032415509	8409088
C/SV-COMP_Termination_Category/svcomp_cstrspn_true-termination.c	false(termination)	0.95822123	0.9546147454530001	8413184
C/SV-COMP_Termination_Category/svcomp_strchr_true-termination.c	false(termination)	0.453603843	0.45193859096616507	8376320
