tool	AProVE 	AProVE 	AProVE 	AProVE 
run set	default	default	default	default
../tpdb-54833d03619e/	status	cputime (s)	walltime (s)	memUsage
C/SV-COMP_Termination_Category/LeeJonesBen-Amram-POPL2001-Ex4_true-termination.c	true	68.091251002	46.64728237129748	5160800256
C/SV-COMP_Termination_Category/LeeJonesBen-Amram-POPL2001-Ex5_true-termination.c	true	26.236640402	4.885183728300035	1016180736
C/SV-COMP_Termination_Category/LeeJonesBen-Amram-POPL2001-Ex6_true-termination.c	true	32.703481091	11.553148838691413	3613110272
C/SV-COMP_Termination_Category/LeikeHeizmann-TACAS2014-Ex9_true-termination.c	true	15.18151784	3.1287639141082764	510124032
C/SV-COMP_Termination_Category/LeikeHeizmann-WST2014-Ex9_true-termination.c	true	6.32181995	1.8081566598266363	301830144
C/SV-COMP_Termination_Category/Masse-VMCAI2014-Fig1b_true-termination.c	TIMEOUT	305.98792595	47.88908366393298	7966691328
C/SV-COMP_Termination_Category/PodelskiRybalchenko-LICS2004-Fig2_true-termination.c	TIMEOUT	306.158463779	69.79615189600736	5944651776
C/SV-COMP_Termination_Category/PodelskiRybalchenko-TACAS2011-Fig4_true-termination.c	true	25.11511302	4.717613740824163	1324003328
C/SV-COMP_Termination_Category/PodelskiRybalchenko-VMCAI2004-Ex1_true-termination.c	true	47.345226548	8.641607534140348	2324824064
C/SV-COMP_Termination_Category/TelAviv-Amir-Minimum_true-termination.c	TIMEOUT	305.057608263	61.59227099828422	7602843648
C/SV-COMP_Termination_Category/Toulouse-BranchesToLoop_true-termination.c	true	18.107375181	3.4082977222278714	560873472
C/SV-COMP_Termination_Category/Toulouse-MultiBranchesToLoop_true-termination.c	true	17.08808532	3.3544525457546115	549986304
C/SV-COMP_Termination_Category/UrbanMine-ESOP2014-Fig3_true-termination.c	true	75.612215846	13.788786982186139	5226418176
C/SV-COMP_Termination_Category/aaron2_true-termination.c	true	56.184506369	9.996873784810305	3257196544
